id;nome;email;identificador;número_de_telefone;endereço_ip;atributo_personalizado_1;atributo_personalizado_2
1;Ana Paula Souza;mailto:anasouza@gmail.com;bb4e11cd-0f23-49da-a123-dcc1fec6852c;+55 11 94856-7890;201.25.41.59;Valor-aleatório-1;Valor-aleatório-1
2;Carlos Santos;mailto:carlossantos@hotmail.com;e60bab4c-9fbb-47eb-8f75-42025b789c47;+55 21 98965-4321;186.221.14.99;Valor-aleatório-2;Valor-aleatório-2
3;Mariana Oliveira;mailto:marianaoliveira@yahoo.com.br;f793e813-4210-4bf3-a812-711418de25d2;+55 31 97654-3210;187.44.21.201;Valor-aleatório-3;Valor-aleatório-3
4;Rafaela Silva;mailto:rafaelasilva@uol.com.br;d6e35a2d-d093-4437-a577-7df76316b937;+55 11 98765-4321;155.249.27.155;Valor-aleatório-4;Valor-aleatório-4
5;Thiago Ferreira;mailto:thiagoferreira@globo.com;3540d40a-5567-4f28-af98-5583a7ddbc56;+55 19 96543-2109;219.181.212.8;Valor-aleatório-5;Valor-aleatório-5
6;Gabriela Barbosa;mailto:gabrielabarbosa@bol.com.br;ba0e1bf0-c74b-41ce-8a2d-0b08fa0e5aa5;+55 11 95432-1076;231.210.115.166;Valor-aleatório-6;Valor-aleatório-6
7;Lucas Silva Santos;mailto:lucassilvasantos@gmail.com;d24cac79-c81b-4b84-a33e-0441b7c6a981;+55 21 98765-4321;160.189.41.11;Valor-aleatório-7;Valor-aleatório-7
8;Fernanda Oliveira;mailto:fernandaoliveira@terra.com.br;29a7a8c0-c7f7-4af9-852f-761b1a784a7a;+55 11 96543-2109;53.94.18.201;Valor-aleatório-8;Valor-aleatório-8
9;Luiz Carlos Souza;mailto:luizcarlos.souza@hotmail.com;847d4943-ddb5-47cc-8008-ed5092c675c5;+55 21 97654-3210;18.87.247.249;Valor-aleatório-9;Valor-aleatório-9
10;Juliana Silva;mailto:julianasilva@gmail.com;8f0b5efd-b6a8-4f1e-a1e3-b0ea8c9e3048;+55 11 94856-7890;25.191.96.124;Valor-aleatório-10;Valor-aleatório-10
11;Anderson Santos;mailto:andersonsantos@yahoo.com.br;bd952787-1b05-411f-9975-b916ec0950cc;+55 11 98765-4321;11.211.174.93;Valor-aleatório-11;Valor-aleatório-11
12;Letícia Ferreira;mailto:leticiaferreira@hotmail.com;12c95613-e49d-4fa2-86fb-deabb6ebe600;+55 11 96543-2109;47.26.205.153;Valor-aleatório-12;Valor-aleatório-12
13;Eduardo Oliveira;mailto:eduardooliveira@gmail.com;36b68e4c-40d6-4e09-bf59-7db3b27b18f0;+55 31 97654-3210;157.196.34.166;Valor-aleatório-13;Valor-aleatório-13
14;Camila Rodrigues;mailto:camilarodrigues@uol.com.br;1856bceb-cb36-415c-8ffc-0527f3f750d8;+55 11 95432-1076;109.231.152.148;Valor-aleatório-14;Valor-aleatório-14
15;Victor Santos;mailto:victorsantos@yahoo.com.br;604de5c9-b154-4279-8978-41fb71f0f773;+55 11 94856-7890;20.43.146.179;Valor-aleatório-15;Valor-aleatório-15
16;Marina Ferreira;mailto:marinaferreira@gmail.com;0a8fc3a7-4986-4a51-a503-6c7f974c90ad;+55 11 96543-2109;179.76.226.171;Valor-aleatório-16;Valor-aleatório-16
17;João Almeida;mailto:joaoalmeida@hotmail.com;0e5ea6e3-6824-4e78-a6f5-672847eafa17;+55 11 95432-1076;92.243.194.160;Valor-aleatório-17;Valor-aleatório-17
18;Gabriela Oliveira;mailto:gabrielaoliveira@hotmail.com;6becf55b-a7b5-48f6-8788-b89cae85b066;+55 11 94856-7890;25.22.86.101;Valor-aleatório-18;Valor-aleatório-18
19;Pedro Santos;mailto:pedrosantos@yahoo.com.br;afa9429f-9034-4b06-9efa-980e01906ebf;+55 11 98765-4321;150.249.116.118;Valor-aleatório-19;Valor-aleatório-19
20;Ana Beatriz Ferreira;mailto:anabeatrizferreira@gmail.com;59f72dec-14ba-4d6e-b17c-0d962e69ffac;+55 19 96543-2109;237.167.197.197;Valor-aleatório-20;Valor-aleatório-20
21;Luiz Felipe Almeida;mailto:luizfelipealmeida@hotmail.com;95f7bc56-be92-4c9c-ad58-eff3e63c7bea;+55 11 95432-1076;88.102.64.113;Valor-aleatório-21;Valor-aleatório-21
22;Júlia Silva;mailto:juliasilva@gmail.com;bde1fe59-c9bd-440c-bb39-79fe61dac1d1;+55 11 94856-7890;141.248.89.29;Valor-aleatório-22;Valor-aleatório-22
23;Lucas Ferreira;mailto:lucasferreira@yahoo.com.br;0c981752-5857-487c-b9b5-5d0253df740a;+55 11 98765-4321;118.123.138.115;Valor-aleatório-23;Valor-aleatório-23
24;Mariana Silva;mailto:marianasilva@hotmail.com;4cf22bfb-2c3f-41d1-9993-6e3758e457ba;+55 11 96543-2109;157.45.102.235;Valor-aleatório-24;Valor-aleatório-24
25;Rafael Ferreira;mailto:rafaelferreira@gmail.com;f10f9b8d-38ac-4e17-8a7d-d2e6a055f944;+55 11 94856-7890;170.73.198.47;Valor-aleatório-25;Valor-aleatório-25
